"x1","x2"
-13.0,-13.0
-13.489526718658997,-13.489526718658997
-13.607755842557847,-13.607755842557847
-14.633267711277778,-14.633267711277778
-15.382178930463693,-15.382178930463693
-16.805891925213825,-16.805891925213825
-18.163365013064876,-18.163365013064876
-19.707906593420322,-19.707906593420322
-20.662840160694742,-20.662840160694742
-22.030043234697573,-22.030043234697573
-23.050249822035763,-23.050249822035763
-24.49243993594549,-24.49243993594549
-25.039101953356756,-25.039101953356756
-26.209700790764646,-26.209700790764646
-27.54100946331733,-27.54100946331733
-28.279203748834426,-28.279203748834426
-29.475029903074876,-29.475029903074876
-30.491838690670633,-30.491838690670633
-31.034667814025525,-31.034667814025525
-32.06208131300069,-32.06208131300069
-32.730073175675486,-32.730073175675486
-33.89904203291418,-33.89904203291418
-35.05163574491083,-35.05163574491083
-36.003775862462575,-36.003775862462575
-36.015653334574196,-36.015653334574196
-36.66626778132321,-36.66626778132321
-37.23163150088923,-37.23163150088923
-38.08098907334266,-38.08098907334266
-39.12186171709346,-39.12186171709346
-39.798978032439,-39.798978032439
-40.30097521178255,-40.30097521178255
-41.12686816786154,-41.12686816786154
-42.16670937947442,-42.16670937947442
-43.26091110619602,-43.26091110619602
-44.131440554298926,-44.131440554298926
-44.87369254695487,-44.87369254695487
-45.1694442139082,-45.1694442139082
-46.025975187460304,-46.025975187460304
-46.95139242779992,-46.95139242779992
-48.05668690362003,-48.05668690362003
-49.381940914203504,-49.381940914203504
-50.04509668210084,-50.04509668210084
-51.14455401698553,-51.14455401698553
-52.03855540706865,-52.03855540706865
-52.85896096907236,-52.85896096907236
-54.06951132859644,-54.06951132859644
-54.90951992914618,-54.90951992914618
-55.42397039969735,-55.42397039969735
-56.009157671057295,-56.009157671057295
-56.73118501940718,-56.73118501940718
